0.675;9.663;0.067
0.55;9.332;-0.081
0.452;9.045;0.038
0.608;8.767;0.102
0.823;8.746;-0.105
0.79;9.385;0.019
0.258;10.75;0.155
-0.533;12.189;-0.198
-1.508;11.119;-0.653
-1.781;10.032;-0.306
-1.549;9.706;-0.371
-1.101;9.153;-0.763
-0.617;8.88;-0.703
-0.301;9.222;-0.32
-0.296;9.548;0.064
-0.404;9.505;0.201
-0.505;9.574;0.067
-0.632;10.022;-0.241
-0.603;10.355;-0.943
-0.579;10.202;-1.189
-0.526;9.732;-0.835
-0.459;9.347;-0.502
-0.483;9.232;-0.421
-0.531;9.481;-0.407
-0.45;9.737;-0.117
-0.359;9.794;0.184
-0.208;9.723;0.481
-0.246;9.486;0.565
-0.383;9.493;0.735
-0.598;9.644;1.137
-0.694;9.677;1.503
-0.708;9.708;1.731
-0.586;9.905;1.951
-0.529;9.976;1.984
-0.565;10.024;1.862
-0.639;10.103;1.908
-0.634;10.12;1.853
-0.615;10.154;1.891
-0.565;10.127;1.994
-0.505;10.082;1.944
-0.43;9.984;1.91
-0.363;9.845;1.903
-0.414;9.751;1.862
-0.464;9.715;1.817
-0.538;9.723;1.802
-0.548;9.735;1.834
-0.56;9.763;1.85
-0.509;9.771;1.881
-0.474;9.802;1.98
-0.44;9.816;2.037
-0.409;9.785;2.02
-0.414;9.912;1.97
-0.423;9.917;1.831
-0.426;9.912;1.707
-0.495;9.926;1.896
-0.505;9.847;2.027
-0.555;9.897;1.987
-0.507;9.799;1.855
-0.507;9.749;1.757
-0.452;9.739;1.798
-0.418;9.727;1.738
-0.404;9.78;1.632
-0.339;9.816;1.644
-0.287;9.754;1.649
-0.26;9.656;1.496
-0.299;9.658;1.235
-0.421;9.79;1.072
-0.414;9.668;0.778
-0.517;9.713;0.754
-0.541;9.823;0.869
-0.509;9.663;0.648
-0.498;9.526;0.069
-0.512;9.811;-0.27
-0.543;10.151;-0.205
-0.555;10.127;0.045
-0.577;10.036;0.241
-0.612;10.089;0.411
-0.622;10.163;0.984
-0.332;10.005;0.852
-0.804;9.759;-0.153
-0.478;9.435;-1.407
-0.208;9.273;-1.182
-0.562;9.445;-0.354
-0.679;9.653;-0.141
-0.545;9.871;-0.268
-0.454;9.976;-0.299
-0.452;9.804;-0.723
-0.459;9.66;-1.127
-0.332;9.696;-0.931
-0.205;9.653;-1.015
-0.15;9.651;-1.053
-0.237;9.818;-0.919
