1573554377969;0.4508;7.9086;5.6546
1573554377989;0.4508;8.3104;5.635
1573554378009;0.441;8.624;5.4684
1573554378028;0.392;8.4574;5.4292
1573554378048;0.3626;8.183;5.4292
1573554378068;0.4214;7.8694;5.6546
1573554378088;0.4312;7.8302;5.782
1573554378108;0.3724;7.9478;5.7428
1573554378128;0.2842;7.9282;5.6448
1573554378148;0.3822;7.8498;5.3802
1573554378168;0.5488;7.8498;5.5566
1573554378188;0.6468;7.8204;5.6742
1573554378208;0.7252;8.3888;5.8702
1573554378228;0.539;7.644;5.8604
1573554378248;0.3626;7.4578;6.2524
1573554378268;0.3822;7.5166;5.9682
1573554378288;0.4704;7.6636;6.0466
1573554378308;0.392;7.8792;6.1838
1573554378328;0.2548;8.0654;5.88
1573554378348;0.2744;7.7616;5.6448
1573554378368;0.4312;7.448;6.0172
1573554378388;0.4018;7.4872;6.2818
1573554378408;0.3724;7.644;6.0662
1573554378428;0.3528;7.7616;5.8408
1573554378448;0.3626;7.5852;5.88
1573554378468;0.3724;7.5068;6.0956
1573554378488;0.4214;7.4872;6.0956
1573554378508;0.3724;7.5558;5.929
1573554378528;0.343;7.5656;5.7918
1573554378548;0.392;7.5166;5.9878
1573554378568;0.441;7.6146;6.0564
1573554378588;0.588;7.5264;6.0368
1573554378608;0.3724;7.497;6.2328
1573554378628;0.4704;7.791;5.4586
1573554378648;0.3038;7.3206;5.0764
1573554378668;0.1764;6.7228;5.9878
1573554378688;0.3332;7.252;6.1348
1573554378708;0.4116;7.7518;5.7526
1573554378728;0.2842;8.1928;5.7036
1573554378747;0.3038;8.2418;5.7036
1573554378767;0.392;8.3104;5.7134
1573554378787;0.4214;8.4084;5.6742
1573554378807;0.4704;8.4084;5.6742
1573554378827;0.4214;8.281;5.7918
1573554378847;0.4312;8.2026;5.733
1573554378867;0.4116;7.987;5.635
1573554378887;0.343;7.8008;5.6154
1573554378907;0.343;7.7224;5.684
1573554378927;0.3136;7.8106;5.8212
1573554378947;0.2744;7.9478;5.6644
1573554378967;0.294;7.8694;5.7134
1573554378987;0.294;7.8204;5.8114
1573554379007;0.343;7.8302;5.8212
1573554379027;0.3038;7.9478;5.88
1573554379047;0.4606;7.8792;5.7036
1573554379067;0.3626;7.9674;6.0662
1573554379087;0.2254;7.6636;5.782
1573554379107;0.3038;7.644;5.4978
1573554379127;0.4214;7.5068;5.4684
1573554379147;0.4606;7.3892;5.8506
1573554379167;0.2744;7.497;6.0368
1573554379186;0.2842;7.3794;5.9094
1573554379206;0.2744;7.6244;5.586
1573554379226;0.1666;7.9576;5.2724
1573554379246;0.0784;8.3496;5.145
1573554379266;0.1862;8.6632;5.0764
1573554379286;0.4508;8.6828;5.3312
1573554379306;0.6468;8.477;5.635
1573554379326;0.6958;8.1438;5.6742
1573554379346;0.6272;7.7028;5.5762
1573554379366;0.4214;7.6832;5.2822
1573554379386;0.196;7.6832;5.0176
1573554379406;0;7.497;5.0274
1573554379426;-0.0784;7.644;5.2724
1573554379446;0.049;7.8498;5.2724
1573554379466;0.196;8.2614;5.3214
1573554379486;0.6468;8.3398;4.9
1573554379506;0.6272;7.8988;5.145
1573554379526;0.4116;7.791;5.096
1573554379545;0.3528;7.7616;5.0764
1573554379565;0.3136;7.5068;4.9196
1573554379585;0.2842;7.4284;4.9098
1573554379605;0.2254;7.5754;4.704
1573554379625;0.3234;7.5362;4.3806
1573554379645;0.3136;7.4382;4.1748
1573554379665;0.2058;7.4284;4.2532
1573554379685;0.2058;7.5264;4.5472
1573554379705;0.1274;7.6342;4.7334
1573554379725;0.0098;7.742;4.7628
1573554379745;-0.1274;7.7812;4.312
1573554379765;-0.1666;7.6832;3.5868
1573554379785;-0.196;7.7714;2.989
1573554379805;-0.0686;8.1242;2.5578
1573554379825;0.2254;8.5456;2.3912
1573554379845;0.3038;8.9278;2.2246
1573554379865;0.1666;8.9082;1.9502
1573554379885;0.1372;8.5358;1.5582
1573554379904;-0.1862;8.5358;1.2348
