# Accelerometer Data File
# Started @Wed Oct 14 09:10:04 GMT+02:00 2020
#
#
# sensor Vendor: STM
# sensor Name: LSM6DSL Acceleration Sensor
# sensor Resolution: 0.0023942017m/sec^2; Max Range: 78.4532; Min Delay: 2000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.318 3.744 8.578 2
-0.299 3.747 8.47 2
-0.299 3.759 8.413 2
-0.304 3.773 8.3 2
-0.287 3.785 8.238 2
-0.289 3.823 8.135 2
-0.304 3.859 8.032 2
-0.304 3.869 7.977 2
-0.316 3.912 7.869 2
-0.33 3.952 7.771 2
-0.349 3.972 7.735 2
-0.371 4.01 7.637 2
-0.387 4.058 7.563 2
-0.411 4.089 7.529 2
-0.452 4.142 7.472 2
-0.478 4.158 7.439 2
-0.495 4.211 7.398 2
-0.538 4.237 7.36 2
-0.557 4.261 7.355 2
-0.605 4.307 7.319 2
-0.634 4.352 7.316 2
-0.656 4.371 7.316 2
-0.706 4.388 7.309 2
-0.739 4.431 7.312 2
-0.747 4.441 7.328 2
-0.778 4.453 7.376 2
-0.826 4.474 7.431 2
-0.845 4.489 7.441 2
-0.866 4.51 7.467 2
-0.931 4.537 7.549 2
-0.931 4.537 7.549 2
-0.967 4.558 7.592 2
-0.976 4.558 7.609 2
-0.984 4.568 7.652 2
-1.007 4.575 7.716 2
-1.024 4.57 7.745 2
-1.058 4.57 7.822 2
-1.06 4.589 7.891 2
-1.06 4.585 7.915 2
-1.055 4.568 7.987 2
-1.067 4.563 8.023 2
-1.07 4.563 8.107 2
-1.075 4.568 8.178 2
-1.084 4.565 8.219 2
-1.089 4.558 8.305 2
-1.079 4.546 8.37 2
-1.084 4.529 8.408 2
-1.098 4.532 8.48 2
-1.098 4.544 8.537 2
-1.096 4.551 8.573 2
-1.096 4.544 8.638 2
-1.063 4.549 8.691 2
-1.046 4.556 8.717 2
-1.003 4.556 8.76 2
-0.981 4.558 8.775 2
-0.948 4.556 8.784 2
-0.902 4.553 8.798 2
-0.89 4.549 8.81 2
-0.847 4.551 8.801 2
-0.794 4.544 8.791 2
-0.794 4.544 8.791 2
-0.782 4.546 8.796 2
-0.768 4.551 8.801 2
-0.749 4.551 8.794 2
-0.739 4.539 8.798 2
-0.73 4.532 8.808 2
-0.706 4.527 8.808 2
-0.691 4.544 8.796 2
-0.691 4.553 8.803 2
-0.696 4.558 8.822 2
-0.715 4.561 8.865 2
-0.737 4.551 8.889 2
-0.754 4.541 8.952 2
-0.782 4.568 9.014 2
-0.794 4.597 9.031 2
-0.797 4.635 9.028 2
-0.768 4.668 8.978 2
-0.73 4.709 8.933 2
-0.665 4.723 8.849 2
-0.634 4.733 8.808 2
-0.553 4.745 8.755 2
-0.49 4.75 8.758 2
-0.462 4.74 8.784 2
-0.43 4.726 8.81 2
-0.399 4.721 8.846 2
-0.39 4.711 8.842 2
-0.354 4.699 8.87 2
-0.359 4.666 8.892 2
-0.349 4.659 8.901 2
-0.33 4.63 8.909 2
-0.294 4.611 8.894 2
-0.294 4.611 8.894 2
-0.294 4.611 8.894 2
-0.306 4.608 8.87 2
-0.301 4.589 8.846 2
-0.316 4.577 8.82 2
-0.311 4.573 8.798 2
-0.304 4.582 8.791 2
-0.299 4.585 8.779 2
-0.289 4.585 8.775 2
-0.275 4.589 8.763 2
-0.265 4.62 8.715 2
-0.256 4.625 8.696 2
-0.239 4.632 8.66 2
-0.229 4.64 8.645 2
-0.227 4.668 8.619 2
-0.205 4.685 8.588 2
-0.196 4.687 8.571 2
-0.189 4.731 8.526 2
-0.181 4.738 8.485 2
-0.169 4.747 8.461 2
-0.174 4.776 8.42 2
-0.179 4.793 8.391 2
-0.181 4.807 8.37 2
-0.193 4.834 8.341 2
-0.201 4.853 8.344 2
-0.22 4.869 8.317 2
-0.232 4.879 8.284 2
-0.239 4.891 8.267 2
-0.251 4.939 8.233 2
-0.246 4.948 8.224 2
-0.237 4.963 8.207 2
-0.225 4.98 8.181 2
-0.229 5.018 8.133 2
-0.217 5.03 8.109 2
-0.208 5.035 8.047 2
-0.21 5.044 8.025 2
-0.208 5.049 7.999 2
-0.201 5.075 7.951 2
-0.198 5.09 7.932 2
-0.196 5.111 7.901 2
-0.21 5.135 7.884 2
-0.21 5.138 7.869 2
-0.201 5.142 7.858 2
-0.203 5.159 7.848 2
-0.198 5.178 7.843 2
-0.215 5.193 7.812 2
